paper_id,claim_id,claim_text,claim_type,evidence_id,raw_quote,source_locator,support_role,support_source_bucket,support_depth,semantic_alignment_score,initial_strength,final_strength,strength_promotion_from_medium_used,strength_promotion_reason,strength_promotion_held_at_moderate,verified_claim_overlap_score,support_quality,support_quality_adjustment,human_label
9zEBK3E9bX,claim-2,,method,evidence-first-support-1-turn-2,"We discuss the proposed SPOT in detail. As shown in Fig. 2, SPOT contains four parts: (a) Augmentations on LiDAR point clouds. (b) Encoder for LiDAR point clouds to generate BEV features, which are pre-trained and used",Fig. 2,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,1,empirical_or_ablation_support,promoted_verified_claim_matched_support,
9zEBK3E9bX,claim-1,,contribution,evidence-first-support-2-turn-5,"We discuss the proposed SPOT in detail. As shown in Fig. 2, SPOT contains four parts: (a) Augmentations on LiDAR point clouds. (b) Encoder for LiDAR point clouds to generate BEV features, which are pre-trained and used",Fig. 2,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,1,empirical_or_ablation_support,promoted_verified_claim_matched_support,
QAAsnSRwgu,claim-2,,method,evidence-first-support-1-turn-2,![](images/edfd59553c38209e69c287477b35bab7412e90568d2cdc53d37b9ce81dc2daa1.jpg) Figure 1: HIVE modular architecture. Each different model version is represented as a separate vertex within the C-KG. A model vertex $m_{j,Figure 1,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,2,empirical_or_ablation_support,promoted_verified_claim_matched_support,
QAAsnSRwgu,claim-1,,contribution,evidence-first-support-3-turn-5,![](images/edfd59553c38209e69c287477b35bab7412e90568d2cdc53d37b9ce81dc2daa1.jpg) Figure 1: HIVE modular architecture. Each different model version is represented as a separate vertex within the C-KG. A model vertex $m_{j,Figure 1,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,2,empirical_or_ablation_support,promoted_verified_claim_matched_support,
WNxlJJIEVj,claim-2,,empirical,evidence-first-support-1-turn-2,"\caption{The average normalized score of CDiffuser and baseline methods on various datasets of Halfcheetah mixed with different ratios of expert data, with $\pm$ denoting the standard deviation.",Table/Figure excerpt #2,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,3,empirical_or_ablation_support,promoted_verified_claim_matched_support,
WNxlJJIEVj,claim-1,,contribution,evidence-first-support-2-turn-5,\centering \includegraphics[width=0.9\textwidth]{figs/framework_updated.pdf} \caption{The overall framework of CDiffuser. CDiffuser is composed of two modules: the Planning Module and the Contrastive Module. The Planning,Table/Figure excerpt #1,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,3,empirical_or_ablation_support,promoted_verified_claim_matched_support,
WNxlJJIEVj,claim-3,,method,evidence-first-support-3-turn-7,"As is illustrated in \cref{fig:framework}, Our CDiffuser is composed of two modules: (1) the Planning Module, which aims to generate subsequent trajectories; (2) the Contrastive Module, which is designed to constrain the",Table/Figure excerpt #2,empirical_result,table_or_figure,deep,1.0,medium,strong,True,direct_verified_deep_support,False,0,empirical_or_ablation_support,promoted_verified_claim_matched_support,
ZHr0JajZfH,claim-2,,method,evidence-first-support-1-turn-2,"\caption{Comparison of the averaged D4RL score on MuJoCo tasks with \textbf{TD3+BC} as the offline RL backbone method. r = random, m = medium, m-r = medium-replay. We report the mean and standard deviation over 5 seeds.}",Table/Figure excerpt #2,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,2,empirical_or_ablation_support,promoted_verified_claim_matched_support,
ZHr0JajZfH,claim-1,,contribution,evidence-first-support-2-turn-5,"\caption{Comparison of the averaged D4RL score on MuJoCo tasks with \textbf{TD3+BC} as the offline RL backbone method. r = random, m = medium, m-r = medium-replay. We report the mean and standard deviation over 5 seeds.}",Table/Figure excerpt #2,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,2,empirical_or_ablation_support,promoted_verified_claim_matched_support,
hj323oR3rw,claim-2,,method,evidence-first-support-1-turn-2,"Figure 3: Training with AMP further amplifies the entropy difference between known and unknown samples, leading to improved performances.",Figure 3,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,3,empirical_or_ablation_support,promoted_verified_claim_matched_support,
hj323oR3rw,claim-1,,contribution,evidence-first-support-3-turn-5,"Figure 3: Training with AMP further amplifies the entropy difference between known and unknown samples, leading to improved performances.",Figure 3,empirical_result,table_or_figure,deep,1.0,medium,strong,True,verified_claim_overlap_deep_support,False,3,empirical_or_ablation_support,promoted_verified_claim_matched_support,
kam84eEmub,claim-1,,contribution,evidence-title-confirms-the-proposed-mode-turn-2,\title{LayerDAG: A Layerwise Autoregressive Diffusion Model for Directed Acyclic Graph Generation},Method / Approach excerpt #1,method_description,method_or_approach,moderate,1.0,medium,strong,True,verified_claim_overlap_method_support,False,6,unspecified_support,promoted_verified_claim_matched_support,
