paper_id,turn_id,target_claim_id,target_type,target_quality,target_gate_label,supporting_evidence_ids,failure_code,failure_message,validated,committed,state_mutation_applied,hygiene_delta_improved,effective_repair,safe_resolution,patch_operation,human_label
9zEBK3E9bX,4,claim-2,claim,narrow_real_target,weak_target,[],BLOCKED_BY_POLICY,Insufficient negative evidence to transition claim status; requires search for copied quotes that limit or contradict the method.,False,False,False,False,False,False,reject_patch,
QAAsnSRwgu,4,flaw-negative-quote-bank-quote-negative-or-gap-1,flaw,narrow_real_target,real_target,['evidence-negative-quote-bank-quote-negative-or-gap-1-1'],SUCCESS,,True,True,True,True,True,False,route_to_assessment_limitation,
QAAsnSRwgu,5,flaw-negative-quote-bank-quote-negative-or-gap-1,flaw,narrow_real_target,real_target,['evidence-negative-quote-bank-quote-negative-or-gap-1-1'],SUCCESS,,True,True,False,False,False,False,route_to_assessment_limitation,
WLgbjzKJkk,4,claim-2,claim,narrow_real_target,weak_target,[],BLOCKED_BY_POLICY,Missing table data or specific metric values to confirm the claim of significant improvements.,False,False,False,False,False,False,reject_patch,
WNxlJJIEVj,4,claim-2,claim,narrow_real_target,weak_target,[],INSUFFICIENT_EVIDENCE,A recovery commit requires at least one supporting_evidence_id already grounded in ReviewState. Flaw downgrades are allowed without evidence only when the target lacks verified negative grounding.,True,False,False,False,False,False,reject_patch,
WNxlJJIEVj,6,claim-2,claim,narrow_real_target,weak_target,[],BLOCKED_BY_POLICY,Insufficient evidence to transition status; requires full result tables for 14 datasets.,False,False,False,False,False,False,reject_patch,
X41c4uB4k0,6,claim-context-1,claim,broad_target,fallback_target,[],BLOCKED_BY_POLICY,"Paper text is truncated; missing empirical details, baselines, and metrics required for evidence extraction.",False,False,False,False,False,False,reject_patch,
ZHr0JajZfH,4,claim-2,claim,narrow_real_target,weak_target,[],BLOCKED_BY_POLICY,Insufficient evidence to transition status; requires specific data or analysis showing the strategy fails.,False,False,False,False,False,False,reject_patch,
hj323oR3rw,4,claim-1,claim,narrow_real_target,weak_target,[],BLOCKED_BY_POLICY,Missing required evidence IDs and target claim ID to apply a recovery patch.,False,False,False,False,False,False,reject_patch,
hj323oR3rw,5,claim-1,claim,narrow_real_target,weak_target,[],BLOCKED_BY_POLICY,Missing required evidence IDs and target claim ID to apply a recovery patch.,False,False,False,False,False,False,reject_patch,
kam84eEmub,4,claim-1,claim,narrow_real_target,weak_target,[],BLOCKED_BY_POLICY,Missing method and empirical details required for validation.,False,False,False,False,False,False,reject_patch,
